variable,rank_rf,rank_xgb,rank_logreg_abs,family
vix,1.0,1.0,1.0,VIX
sp500_vol_60d_ann,2.0,4.0,21.0,volatilidad realizada
vix_ma_20,3.0,2.0,4.0,VIX
sp500_drawdown_252d,4.0,18.0,8.0,drawdown
sp500_rolling_max_252d,5.0,3.0,2.0,drawdown
sp500_vol_20d,6.0,6.0,26.0,volatilidad realizada
sp500_dist_ma200,7.0,5.0,22.0,tendencia/mercado
sp500_vol_20d_ann,8.0,12.0,27.0,volatilidad realizada
sp500_ma_200,9.0,8.0,7.0,tendencia/mercado
sp500_ma_50,10.0,11.0,10.0,tendencia/mercado
sp500_close,11.0,10.0,15.0,mercado
treasury_2y,12.0,7.0,13.0,tipos/curva
sp500_dist_ma50,13.0,13.0,28.0,tendencia/mercado
treasury_10y,14.0,16.0,5.0,tipos/curva
treasury_3m,15.0,14.0,6.0,tipos/curva
spread_10y_2y,16.0,9.0,3.0,tipos/curva
spread_10y_3m,17.0,17.0,20.0,tipos/curva
sp500_return_20d,18.0,19.0,11.0,tendencia/mercado
vix_zscore_252,19.0,15.0,14.0,VIX
treasury_2y_change_20d,20.0,22.0,17.0,tipos/curva
spread_10y_3m_change_20d,21.0,21.0,9.0,tipos/curva
spread_10y_2y_change_20d,22.0,23.0,25.0,tipos/curva
treasury_10y_change_20d,23.0,20.0,16.0,tipos/curva
sp500_return_5d,24.0,26.0,12.0,tendencia/mercado
vix_change_5d,25.0,24.0,18.0,VIX
vix_change_1d,26.0,25.0,24.0,VIX
sp500_return_1d,27.0,27.0,23.0,tendencia/mercado
curve_inverted_10y_2y,28.0,28.0,19.0,tipos/curva
