modelo,variant_features,hyperparams,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8366,0.6418,0.8106,0.7164,0.9017,0.7881,3971,726,304,1301
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7911,0.3098,0.4191,0.3562,0.6345,0.2611,723,127,79,57
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6571,0.4456,0.784,0.5682,0.7741,0.6361,673,438,97,352
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,train,0.8132,0.5955,0.8318,0.694,0.9017,0.7881,3790,907,270,1335
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,validation,0.783,0.316,0.4926,0.3851,0.6345,0.2611,705,145,69,67
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,test,0.6,0.4031,0.8107,0.5385,0.7741,0.6361,572,539,85,364
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8323,0.6334,0.8106,0.7111,0.9008,0.7883,3944,753,304,1301
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7931,0.3111,0.4118,0.3544,0.6032,0.256,726,124,80,56
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,test,0.6558,0.4439,0.7751,0.5645,0.7751,0.6419,675,436,101,348
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,train,0.794,0.5617,0.871,0.683,0.9008,0.7883,3606,1091,207,1398
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,validation,0.7718,0.3004,0.4926,0.3733,0.6032,0.256,694,156,69,67
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,test,0.5942,0.4004,0.8241,0.539,0.7751,0.6419,557,554,79,370
RandomForest,all_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,train,0.8645,0.6899,0.8498,0.7616,0.9432,0.8663,4084,613,241,1364
