modelo,variant_features,hyperparams,threshold_type,threshold,split,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7911,0.3098,0.4191,0.3562,0.6345,0.2611,723,127,79,57
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,validation,0.783,0.316,0.4926,0.3851,0.6345,0.2611,705,145,69,67
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7931,0.3111,0.4118,0.3544,0.6032,0.256,726,124,80,56
RandomForest,all_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,validation,0.7718,0.3004,0.4926,0.3733,0.6032,0.256,694,156,69,67
RandomForest,all_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.789,0.3318,0.5221,0.4057,0.6199,0.2982,707,143,65,71
RandomForest,all_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.51,validation,0.7951,0.3398,0.5147,0.4094,0.6199,0.2982,714,136,66,70
RandomForest,all_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8032,0.3457,0.4779,0.4012,0.6123,0.2957,727,123,71,65
RandomForest,all_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.5,validation,0.8032,0.3457,0.4779,0.4012,0.6123,0.2957,727,123,71,65
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.4838,0.1676,0.6912,0.2697,0.6347,0.3373,383,467,42,94
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.73,validation,0.8813,0.6939,0.25,0.3676,0.6347,0.3373,835,15,102,34
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.789,0.3252,0.4926,0.3918,0.6237,0.317,711,139,69,67
RandomForest,all_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.53,validation,0.8063,0.3514,0.4779,0.405,0.6237,0.317,730,120,71,65
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.788,0.3048,0.4191,0.3529,0.6451,0.267,720,130,79,57
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.45,validation,0.7819,0.3146,0.4926,0.384,0.6451,0.267,704,146,69,67
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7901,0.3039,0.4044,0.347,0.6158,0.2557,724,126,81,55
RandomForest,all_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.42,validation,0.7718,0.3004,0.4926,0.3733,0.6158,0.2557,694,156,69,67
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.789,0.3302,0.5147,0.4023,0.6219,0.2997,708,142,66,70
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.5,validation,0.789,0.3302,0.5147,0.4023,0.6219,0.2997,708,142,66,70
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8002,0.3351,0.4559,0.3863,0.6086,0.2942,727,123,74,62
RandomForest,all_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.48,validation,0.7972,0.3384,0.4926,0.4012,0.6086,0.2942,719,131,69,67
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.4483,0.1577,0.6912,0.2568,0.6354,0.3432,348,502,42,94
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.69,validation,0.86,0.4875,0.2868,0.3611,0.6354,0.3432,809,41,97,39
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.7911,0.3284,0.4926,0.3941,0.6247,0.3236,713,137,69,67
RandomForest,all_features,n_estimators=500;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.51,validation,0.8002,0.3436,0.4926,0.4048,0.6247,0.3236,722,128,69,67
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8043,0.3061,0.3309,0.318,0.5467,0.2457,748,102,91,45
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7738,0.3014,0.4853,0.3718,0.5467,0.2457,697,153,70,66
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8053,0.3082,0.3309,0.3191,0.5438,0.2431,749,101,91,45
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7698,0.2978,0.4926,0.3712,0.5438,0.2431,692,158,69,67
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8073,0.3151,0.3382,0.3262,0.5629,0.2807,750,100,90,46
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,validation,0.787,0.3073,0.4338,0.3598,0.5629,0.2807,717,133,77,59
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8053,0.3108,0.3382,0.3239,0.5481,0.2727,748,102,90,46
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.37,validation,0.785,0.3061,0.4412,0.3614,0.5481,0.2727,714,136,76,60
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8093,0.3143,0.3235,0.3188,0.5751,0.3088,754,96,92,44
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.37,validation,0.7911,0.3118,0.4265,0.3602,0.5751,0.3088,722,128,78,58
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8032,0.3067,0.3382,0.3217,0.5638,0.2899,746,104,90,46
RandomForest,reduced_no_level_features,n_estimators=300;max_depth=None;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.38,validation,0.7941,0.3189,0.4338,0.3676,0.5638,0.2899,724,126,77,59
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8022,0.302,0.3309,0.3158,0.5574,0.2487,746,104,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7738,0.2995,0.4779,0.3683,0.5574,0.2487,698,152,71,65
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8032,0.3041,0.3309,0.3169,0.5432,0.2442,747,103,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=3;min_samples_leaf=50;class_weight=balanced_subsample,optimized_val_f1,0.33,validation,0.7688,0.2946,0.4853,0.3667,0.5432,0.2442,692,158,70,66
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8073,0.3125,0.3309,0.3214,0.5599,0.2798,751,99,91,45
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=20;class_weight=balanced_subsample,optimized_val_f1,0.35,validation,0.784,0.3026,0.4338,0.3565,0.5599,0.2798,714,136,77,59
RandomForest,reduced_no_level_features,n_estimators=500;max_depth=5;min_samples_leaf=50;class_weight=balanced_subsample,fixed_0.5,0.5,validation,0.8053,0.3082,0.3309,0.3191,0.5505,0.271,749,101,91,45
