feature,importance
vix,0.18789822
vix_ma_20,0.10507236
sp500_rolling_max_252d,0.08243006
sp500_vol_60d_ann,0.06788216
sp500_dist_ma200,0.044356156
sp500_vol_20d,0.035261378
treasury_2y,0.034969717
sp500_ma_200,0.03443163
spread_10y_2y,0.03340215
sp500_close,0.032205064
sp500_ma_50,0.031703886
sp500_vol_20d_ann,0.030239308
sp500_dist_ma50,0.029970225
treasury_3m,0.029470243
vix_zscore_252,0.027639035
treasury_10y,0.027591974
spread_10y_3m,0.025479011
sp500_drawdown_252d,0.021667367
sp500_return_20d,0.020516796
treasury_10y_change_20d,0.019403629
spread_10y_3m_change_20d,0.019122604
treasury_2y_change_20d,0.016529197
spread_10y_2y_change_20d,0.015085741
vix_change_5d,0.0103594
vix_change_1d,0.007763646
sp500_return_5d,0.0074151317
sp500_return_1d,0.0021338027
curve_inverted_10y_2y,0.0
